所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/教学管理(#5),验证教学管理模块界面是否与原型图一致,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.左侧导航栏点击【教学管理】进入该模块界面",1. 查看界面布局是否与原型图一致,1. 教学管理模块界面布局与原型图一致,,4,功能测试,"
系统测试阶段"
/教学管理(#5),验证新增按钮是否可用,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【学员班级】进入该模块",1.点击【新增】按钮,1.弹出‘新增班级’窗口,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证转班转校按钮是否可用,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【学员班级】进入该模块",1.点击【转班转校】按钮,1.弹出‘学员转班’窗口,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证输入存在的学生姓名，是否可以查询出该学生的信息,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【学员班级】进入该模块","1.点击【转班转校】按钮
2.在‘姓名’输入框输入存在的姓名‘尹瑞’
3.点击‘查询’",1.学生列表显示该学生的相关信息,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证‘校区’下拉框是否可用,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【学员班级】进入该模块","1.点击【转班转校】按钮
2.点击‘校区’下拉框",1.‘校区’下拉框可选择,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证‘班级’下拉框是否可用,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【学员班级】进入该模块","1.点击【转班转校】按钮
2.点击‘班级’下拉框",1.‘班级’下拉框可选择,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证所有信息正确，点击‘确认’按钮后是否转班成功,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【学员班级】进入该模块","1.点击【转班转校】按钮
2.姓名输入‘尹瑞’，点击查询
3.勾选该学生
4.校区选择‘成都’
5.方向选择‘测试’
6.班级选择‘WNCDC016’
7.点击‘确定’",1.转班成功，弹出‘转班成功’窗口,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证输入并选择相关信息后，点击‘返回’按钮，是否会回到窗口初始状态,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【学员班级】进入该模块","1.点击【转班转校】按钮
2.姓名输入‘尹瑞’，点击查询
3.校区选择‘成都’
4.方向选择‘测试’
5.班级选择‘WNCDC016’
6.点击‘返回’",1.窗口回到打开框的初始状态,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证【区域】下拉框正确性,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【学员班级】进入该模块",1.点击‘区域’下拉框,1.‘区域’下拉框显示与原型图一致,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证【方向】下拉框正确性,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【学员班级】进入该模块",1.点击‘方向’下拉框,1.‘方向’下拉框显示与原型图一致,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证可以通过下拉框查询班级信息,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【学员班级】进入该模块","1.‘区域’下拉框选择全部
2.‘方向’下拉框选择全部",1.班级列表显示所有校区的所有班级信息,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证‘讲师’下拉框可用,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块",1.点击‘讲师’下拉框,1.‘讲师’下拉框可选择,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证‘班主任’下拉框可用,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块",1.点击‘班主任’下拉框,1.‘班主任’下拉框可选择,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”起始框可以通过日期插件框进行选择,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块",1.起始日期：2019-12-01,“课程时间”起始框可以通过日期插件框进行选择,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”起始框可以通过键盘输入,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块",1.起始日期：键盘输入2019-12-01,“课程时间”起始框可以通过键盘输入,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”起始框输入错误日期格式,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块","1.起始日期：2019-13-01
2.结束日期：2020-01-07
3.点击“查询”按钮",有日期格式错误的提示信息,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”起始框输入为空,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块","1.起始日期：“”
2.结束日期：2020-01-07
3.点击“查询”按钮",有日期格式错误的提示信息,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”起始框输入为空格,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块","1.起始日期：“ ”
2.结束日期：2020-01-07
3.点击“查询”按钮",有日期格式错误的提示信息,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”起始框输入为字符,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块","1.起始日期：abc
2.结束日期：2020-01-07
3.点击“查询”按钮",有日期格式错误的提示信息,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”起始框输入为数字字符组合格式,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块","1.起始日期：123abc
2.结束日期：2020-01-07
3.点击“查询”按钮",有日期格式错误的提示信息,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”起始框输入为特殊格式,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块","1.起始日期：%
2.结束日期：2020-01-07
3.点击“查询”按钮",有日期格式错误的提示信息,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”起始框输入为数字,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块","1.起始日期：0000
2.结束日期：2020-01-07
3.点击“查询”按钮",有日期格式错误的提示信息,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”起始框输入为空,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块","1.起始日期：“”
2.结束日期：2020-01-07
3.点击“查询”按钮",有日期格式错误的提示信息,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”截止框可以通过日期插件框进行选择,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块",1.结束日期：2019-12-01,“课程时间”截止框可以通过日期插件框进行选择,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”截止框可以通过键盘输入,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块",1.结束日期：键盘输入2019-12-01,“课程时间”截止框可以通过键盘输入,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”截止框输入错误日期格式,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块","1.起始日期：2017-01-01
2.结束日期：2019-12-33
3.点击“查询”按钮",有日期格式错误的提示信息,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”截止框输入为空,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块","1.起始日期：2017-01-01
2.结束日期：“”
3.点击“查询”按钮",有日期格式错误的提示信息,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”截止框输入为空格,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块","1.起始日期：2017-01-01
2.结束日期：“ ”
3.点击“查询”按钮",有日期格式错误的提示信息,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”截止框输入为字符,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块","1.起始日期：2017-01-01
2.结束日期：abc
3.点击“查询”按钮",有日期格式错误的提示信息,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”截止框输入为数字字符组合格式,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块","1.起始日期：2017-01-01
2.结束日期：123abc
3.点击“查询”按钮",有日期格式错误的提示信息,,3,功能测试,"
系统测试阶段"
/教学管理(#5),验证“课程时间”截止框输入为特殊格式,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登录；
4.输入二级密码解密
5.左侧导航栏点击【教学管理】进入该模块界面
6.点击【课程安排】进入该模块","1.起始日期：2017-01-01
2.结束日期：%
3.点击“查询”按钮",有日期格式错误的提示信息,,3,功能测试,"
系统测试阶段"
