所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/财务管理(#10),验证全部输入合法格式可以新增收入流水成功,"1.打开woniuboss首页
2.管理员登录
3.二级解密
4.点击“财务管理”模块
5.点击“财务流水”模块
6.点击“添加收入”按钮","1.一级科目：下拉框任选一项
2.二级科目：下拉框任选一项
3.收入方：蜗牛成都校区
4.收入账号：
5.支出方：小明
6.支出账号：23456
7.交易金额：1000
8.结算方式：下拉框任选一项
9.交易日期：2020-01-07
10.校区：下拉框任选一项
11.摘要：定金",新增流水成功,,3,功能测试,系统测试阶段
/财务管理(#10),验证收入方与收入账号具有一一对应关系,"1.打开woniuboss首页
2.管理员登录
3.二级解密
4.点击“财务管理”模块
5.点击“财务流水”模块
6.点击“添加收入”按钮","1.收入方：蜗牛成都校区
2.收入账号：
3.其他框输入合法数据",收入账号随收入方的变化而变化，具有对应关系,,3,功能测试,系统测试阶段
/财务管理(#10),验证收入账号框不可写,"1.打开woniuboss首页
2.管理员登录
3.二级解密
4.点击“财务管理”模块
5.点击“财务流水”模块
6.点击“添加收入”按钮","1.收入方：蜗牛成都校区
2.收入账号：00000
3.其他框输入合法数据","收入账号框不可写
",,3,功能测试,系统测试阶段
/财务管理(#10),验证支出方输入为空,"1.打开woniuboss首页
2.管理员登录
3.二级解密
4.点击“财务管理”模块
5.点击“财务流水”模块
6.点击“添加收入”按钮","1.支出方：‘’
2.其他框输入合法数据",有相关格式约束提示信息,,3,功能测试,系统测试阶段
/财务管理(#10),验证支出方输入为空格,"1.打开woniuboss首页
2.管理员登录
3.二级解密
4.点击“财务管理”模块
5.点击“财务流水”模块
6.点击“添加收入”按钮","1.支出方：‘ ’
2.其他框输入合法数据",有相关格式约束提示信息,,3,功能测试,系统测试阶段
/财务管理(#10),验证支出方输入为字符,"1.打开woniuboss首页
2.管理员登录
3.二级解密
4.点击“财务管理”模块
5.点击“财务流水”模块
6.点击“添加收入”按钮","1.支出方：abc
2.其他框输入合法数据",新增收入流水成功,,3,功能测试,系统测试阶段
/财务管理(#10),验证支出方输入为数字字符组合,"1.打开woniuboss首页
2.管理员登录
3.二级解密
4.点击“财务管理”模块
5.点击“财务流水”模块
6.点击“添加收入”按钮","1.支出方：123abc
2.其他框输入合法数据",新增收入流水成功,,3,功能测试,系统测试阶段
/财务管理(#10),验证支出方输入为数字,"1.打开woniuboss首页
2.管理员登录
3.二级解密
4.点击“财务管理”模块
5.点击“财务流水”模块
6.点击“添加收入”按钮","1.支出方：123
2.其他框输入合法数据",新增收入流水成功,,3,功能测试,系统测试阶段
/财务管理(#10),验证支出方输入为特殊字符,"1.打开woniuboss首页
2.管理员登录
3.二级解密
4.点击“财务管理”模块
5.点击“财务流水”模块
6.点击“添加收入”按钮","1.支出方：#@
2.其他框输入合法数据",新增收入流水成功,,3,功能测试,系统测试阶段
/财务管理(#10),验证支出账号输入为空,"1.打开woniuboss首页
2.管理员登录
3.二级解密
4.点击“财务管理”模块
5.点击“财务流水”模块
6.点击“添加收入”按钮","1.支出账号：‘’
2.其他框输入合法数据",有相关格式约束提示信息,,3,功能测试,系统测试阶段
/财务管理(#10),验证支出账号输入为空格,"1.打开woniuboss首页
2.管理员登录
3.二级解密
4.点击“财务管理”模块
5.点击“财务流水”模块
6.点击“添加收入”按钮","1.支出账号：‘ ’
2.其他框输入合法数据",有相关格式约束提示信息,,3,功能测试,系统测试阶段
/财务管理(#10),验证支出账号输入为字符,"1.打开woniuboss首页
2.管理员登录
3.二级解密
4.点击“财务管理”模块
5.点击“财务流水”模块
6.点击“添加收入”按钮","1.支出账号：abc
2.其他框输入合法数据",有相关格式约束提示信息,,3,功能测试,系统测试阶段
/财务管理(#10),验证支出账号输入为数字字符组合,"1.打开woniuboss首页
2.管理员登录
3.二级解密
4.点击“财务管理”模块
5.点击“财务流水”模块
6.点击“添加收入”按钮","1.支出账号：123abc
2.其他框输入合法数据",有相关格式约束提示信息,,3,功能测试,系统测试阶段
/财务管理(#10),验证支出账号输入为超长数字,"1.打开woniuboss首页
2.管理员登录
3.二级解密
4.点击“财务管理”模块
5.点击“财务流水”模块
6.点击“添加收入”按钮","1.支出账号：12345678910111213
2.其他框输入合法数据",有相关格式约束提示信息,,3,功能测试,系统测试阶段
/财务管理(#10),验证支出账号输入为超短数字,"1.打开woniuboss首页
2.管理员登录
3.二级解密
4.点击“财务管理”模块
5.点击“财务流水”模块
6.点击“添加收入”按钮","1.支出账号：1
2.其他框输入合法数据",有相关格式约束提示信息,,3,功能测试,系统测试阶段
