所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
/班务管理(#14),验证【学员管理】页面布局是否与原型图一致,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
",1. 查看界面布局是否与原型图一致,1.班务管理模块界面布局与原型图一致,3,功能测试,系统测试阶段
/班务管理(#14),验证【新增】按钮是否可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【班级管理】子模块
2.点击【新增】按钮",1.弹出‘新增班级’窗口,3,功能测试,系统测试阶段
/班务管理(#14),验证所有参数正确，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【班级管理】子模块
2.点击【新增】按钮
3.所有参数输入正确，点击【保存】",1.新增成功，弹出‘新增班级成功’窗口,3,功能测试,系统测试阶段
/班务管理(#14),验证班号输入特殊符号，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【班级管理】子模块
2.点击【新增】按钮
3.班号输入‘WNCD00@’，其他参数输入正确，点击【保存】",1.新增失败，提示‘班号输入不合法’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证班号输入空格，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【班级管理】子模块
2.点击【新增】按钮
3.班号输入‘WNCD0 01’，其他参数输入正确，点击【保存】",1.新增失败，提示‘班号输入不合法’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证班号为空，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【班级管理】子模块
2.点击【新增】按钮
3.班号输入‘WNCD0 01’，其他参数输入正确，点击【保存】",1.新增失败，提示‘班号不能为空’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证开班时间是否可以键盘输入,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【班级管理】子模块
2.点击【新增】按钮
3.开班时间输入框输入‘2020-04-28’",1.新增成功，弹出‘新增班级成功’窗口,3,功能测试,系统测试阶段
/班务管理(#14),验证开班时间输入特殊符号，是否可以新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【班级管理】子模块
2.点击【新增】按钮
3.开班时间输入框输入‘2020-04-2@’，其他参数正确，点击【保存】",1.新增失败，提示‘开班时间输入不合法’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证开班时间输入含空格，是否可以新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【班级管理】子模块
2.点击【新增】按钮
3.开班时间输入框输入‘2020-04- 2’，其他参数正确，点击【保存】",1.新增失败，提示‘开班时间输入不合法’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证开班时间输入为空，是否可以新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【班级管理】子模块
2.点击【新增】按钮
3.开班时间不输入，其他参数正确，点击【保存】",1.提示‘开班日期不能为空’信息,3,功能测试,系统测试阶段
